시도교육청코드,시도교육청명,행정표준코드,학교명,식사코드,식사명,급식일자,급식인원수,요리명,원산지정보,칼로리정보,영양정보,수정일자
T10,제주특별자치도교육청,9290088,제주중앙고등학교,2,중식,20260909,866.00,톳문어솥밥/양념장(자율)- (5.6)<br/>돈코츠라멘- (1.5.6.10.15.16.18)<br/>참나물사과무침(자율)- <br/>양파고추장아찌(자율)- (5.6)<br/>타코야끼- (1.5.6.16)<br/>배추김치(자율)- <br/>바나나- ,"쇠고기(종류) : 제주산한우<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 제주산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 제주산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>쌀 가공품 : 국내산<br/>배추 : 국내산<br/>배추 가공품 : 국내산<br/>고춧가루 : 국내산<br/>고춧가루 가공품 : 국내산<br/>콩 : 국내산<br/>콩 가공품 : 국내산<br/>조피볼락 : 사용시 별도 표시<br/>참돔 : 국내산<br/>낙지 : 국내산<br/>낙지 수산가공품 : 사용시 별도 표시<br/>명태 : 사용시 별도 표시<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>오징어 수산가공품 : 사용시 별도 표시<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>다랑어 : 사용시 별도 표시<br/>다랑어 수산가공품 : 참치:원양산,가쓰오부시:필리핀산,인도네시아산<br/>아귀 : 국내산<br/>주꾸미 : 사용시 별도 표시<br/>주꾸미 수산가공품 : 사용시 별도 표시<br/>전복 : 국내산<br/>방어 : 국내산<br/>비고 : ",890.8 Kcal,탄수화물(g) : 109.8<br/>단백질(g) : 40.8<br/>지방(g) : 32.0<br/>비타민A(R.E) : 220.8<br/>티아민(mg) : 0.9<br/>리보플라빈(mg) : 1.8<br/>비타민C(mg) : 25.7<br/>칼슘(mg) : 325.1<br/>철분(mg) : 5.6,20260909
T10,제주특별자치도교육청,9290088,제주중앙고등학교,2,중식,20260910,866.00,"차조밥- <br/>들기름막국수- (3.5.6)<br/>근대된장국- (5)<br/>브로콜리,다시마/초고추장(자율)- <br/>청경채사과겉절이(자율)- (5.6)<br/>돈육고추장불고기- (5.6.10)<br/>배추김치(자율)- ","쇠고기(종류) : 제주산한우<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 제주산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 제주산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>쌀 가공품 : 국내산<br/>배추 : 국내산<br/>배추 가공품 : 국내산<br/>고춧가루 : 국내산<br/>고춧가루 가공품 : 국내산<br/>콩 : 국내산<br/>콩 가공품 : 국내산<br/>조피볼락 : 사용시 별도 표시<br/>참돔 : 국내산<br/>낙지 : 국내산<br/>낙지 수산가공품 : 사용시 별도 표시<br/>명태 : 사용시 별도 표시<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>오징어 수산가공품 : 사용시 별도 표시<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>다랑어 : 사용시 별도 표시<br/>다랑어 수산가공품 : 참치:원양산,가쓰오부시:필리핀산,인도네시아산<br/>아귀 : 국내산<br/>주꾸미 : 사용시 별도 표시<br/>주꾸미 수산가공품 : 사용시 별도 표시<br/>전복 : 국내산<br/>방어 : 국내산<br/>비고 : ",828.3 Kcal,탄수화물(g) : 113.4<br/>단백질(g) : 54.9<br/>지방(g) : 19.0<br/>비타민A(R.E) : 183.6<br/>티아민(mg) : 1.4<br/>리보플라빈(mg) : 1.3<br/>비타민C(mg) : 29.7<br/>칼슘(mg) : 199.6<br/>철분(mg) : 7.3,20260909
T10,제주특별자치도교육청,9290088,제주중앙고등학교,2,중식,20260911,866.00,한우콩나물밥/부추양념장- (5.6.16)<br/>닭강정샌드위치- (1.2.5.6.12.15.16)<br/>애호박된장찌개- (5.6)<br/>꼬시래기해초무침(자율)- (5.6)<br/>배추김치(자율)- <br/>애플샤베트- ,"쇠고기(종류) : 제주산한우<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 제주산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 제주산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>쌀 가공품 : 국내산<br/>배추 : 국내산<br/>배추 가공품 : 국내산<br/>고춧가루 : 국내산<br/>고춧가루 가공품 : 국내산<br/>콩 : 국내산<br/>콩 가공품 : 국내산<br/>조피볼락 : 사용시 별도 표시<br/>참돔 : 국내산<br/>낙지 : 국내산<br/>낙지 수산가공품 : 사용시 별도 표시<br/>명태 : 사용시 별도 표시<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>오징어 수산가공품 : 사용시 별도 표시<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>다랑어 : 사용시 별도 표시<br/>다랑어 수산가공품 : 참치:원양산,가쓰오부시:필리핀산,인도네시아산<br/>아귀 : 국내산<br/>주꾸미 : 사용시 별도 표시<br/>주꾸미 수산가공품 : 사용시 별도 표시<br/>전복 : 국내산<br/>방어 : 국내산<br/>비고 : ",837.8 Kcal,탄수화물(g) : 121.5<br/>단백질(g) : 36.6<br/>지방(g) : 22.0<br/>비타민A(R.E) : 83.5<br/>티아민(mg) : 0.6<br/>리보플라빈(mg) : 0.6<br/>비타민C(mg) : 15.3<br/>칼슘(mg) : 385.0<br/>철분(mg) : 6.1,20260909
T10,제주특별자치도교육청,9290088,제주중앙고등학교,2,중식,20260914,866.00,보리밥- <br/>돼지갈비탕/당면- (10)<br/>열무된장무침(자율)- (5)<br/>동그랑땡- (5.6.10.16)<br/>코다리살강정- (5.6.12)<br/>배추김치(자율)- ,"쇠고기(종류) : 제주산한우<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 제주산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 제주산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>쌀 가공품 : 국내산<br/>배추 : 국내산<br/>배추 가공품 : 국내산<br/>고춧가루 : 국내산<br/>고춧가루 가공품 : 국내산<br/>콩 : 국내산<br/>콩 가공품 : 국내산<br/>조피볼락 : 사용시 별도 표시<br/>참돔 : 국내산<br/>낙지 : 국내산<br/>낙지 수산가공품 : 사용시 별도 표시<br/>명태 : 사용시 별도 표시<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>오징어 수산가공품 : 사용시 별도 표시<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>다랑어 : 사용시 별도 표시<br/>다랑어 수산가공품 : 참치:원양산,가쓰오부시:필리핀산,인도네시아산<br/>아귀 : 국내산<br/>주꾸미 : 사용시 별도 표시<br/>주꾸미 수산가공품 : 사용시 별도 표시<br/>전복 : 국내산<br/>방어 : 국내산<br/>비고 : ",878.9 Kcal,탄수화물(g) : 114.6<br/>단백질(g) : 49.7<br/>지방(g) : 22.0<br/>비타민A(R.E) : 85.5<br/>티아민(mg) : 0.9<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 10.8<br/>칼슘(mg) : 218.2<br/>철분(mg) : 4.6,20260909
T10,제주특별자치도교육청,9290088,제주중앙고등학교,2,중식,20260915,866.00,발아현미밥- <br/>어묵뭇국- (2.5.6.16)<br/>골뱅이실곤약무침- (5.6)<br/>가지나물(자율)- (5.6)<br/>통삼겹오븐구이 (10)<br/>배추김치(자율)- <br/>쌈(상추깻잎)(자율)- (5),"쇠고기(종류) : 제주산한우<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 제주산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 제주산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>쌀 가공품 : 국내산<br/>배추 : 국내산<br/>배추 가공품 : 국내산<br/>고춧가루 : 국내산<br/>고춧가루 가공품 : 국내산<br/>콩 : 국내산<br/>콩 가공품 : 국내산<br/>조피볼락 : 사용시 별도 표시<br/>참돔 : 국내산<br/>낙지 : 국내산<br/>낙지 수산가공품 : 사용시 별도 표시<br/>명태 : 사용시 별도 표시<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>오징어 수산가공품 : 사용시 별도 표시<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>다랑어 : 사용시 별도 표시<br/>다랑어 수산가공품 : 참치:원양산,가쓰오부시:필리핀산,인도네시아산<br/>아귀 : 국내산<br/>주꾸미 : 사용시 별도 표시<br/>주꾸미 수산가공품 : 사용시 별도 표시<br/>전복 : 국내산<br/>방어 : 국내산<br/>비고 : ",788.5 Kcal,탄수화물(g) : 111.4<br/>단백질(g) : 47.3<br/>지방(g) : 17.0<br/>비타민A(R.E) : 224.6<br/>티아민(mg) : 1.4<br/>리보플라빈(mg) : 0.8<br/>비타민C(mg) : 40.5<br/>칼슘(mg) : 252.4<br/>철분(mg) : 4.3,20260909
T10,제주특별자치도교육청,9290088,제주중앙고등학교,2,중식,20260916,866.00,"후리가케주먹밥- (1.5.6.13.16)<br/>국물떡볶이(+한우,파채)- (1.5.6.9.12.16)<br/>김말이/롱오징어튀김- (1.5.6.16.17)<br/>슬림단무지(자율)- <br/>배추김치(자율)- <br/>메론- ","쇠고기(종류) : 제주산한우<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 제주산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 제주산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>쌀 가공품 : 국내산<br/>배추 : 국내산<br/>배추 가공품 : 국내산<br/>고춧가루 : 국내산<br/>고춧가루 가공품 : 국내산<br/>콩 : 국내산<br/>콩 가공품 : 국내산<br/>조피볼락 : 사용시 별도 표시<br/>참돔 : 국내산<br/>낙지 : 국내산<br/>낙지 수산가공품 : 사용시 별도 표시<br/>명태 : 사용시 별도 표시<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>오징어 수산가공품 : 사용시 별도 표시<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>다랑어 : 사용시 별도 표시<br/>다랑어 수산가공품 : 참치:원양산,가쓰오부시:필리핀산,인도네시아산<br/>아귀 : 국내산<br/>주꾸미 : 사용시 별도 표시<br/>주꾸미 수산가공품 : 사용시 별도 표시<br/>전복 : 국내산<br/>방어 : 국내산<br/>비고 : ",918.8 Kcal,탄수화물(g) : 120.0<br/>단백질(g) : 39.5<br/>지방(g) : 31.2<br/>비타민A(R.E) : 181.4<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 0.9<br/>비타민C(mg) : 32.4<br/>칼슘(mg) : 313.7<br/>철분(mg) : 7.9,20260909
T10,제주특별자치도교육청,9290088,제주중앙고등학교,2,중식,20260917,866.00,차조밥- <br/>아욱된장국- (5)<br/>달걀찜- (1.2)<br/>견과류단호박찜(자율)- <br/>치즈불닭- (2.5.6.12.15)<br/>자반김- (5.6)<br/>배추김치(자율)- ,"쇠고기(종류) : 제주산한우<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 제주산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 제주산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>쌀 가공품 : 국내산<br/>배추 : 국내산<br/>배추 가공품 : 국내산<br/>고춧가루 : 국내산<br/>고춧가루 가공품 : 국내산<br/>콩 : 국내산<br/>콩 가공품 : 국내산<br/>조피볼락 : 사용시 별도 표시<br/>참돔 : 국내산<br/>낙지 : 국내산<br/>낙지 수산가공품 : 사용시 별도 표시<br/>명태 : 사용시 별도 표시<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>오징어 수산가공품 : 사용시 별도 표시<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>다랑어 : 사용시 별도 표시<br/>다랑어 수산가공품 : 참치:원양산,가쓰오부시:필리핀산,인도네시아산<br/>아귀 : 국내산<br/>주꾸미 : 사용시 별도 표시<br/>주꾸미 수산가공품 : 사용시 별도 표시<br/>전복 : 국내산<br/>방어 : 국내산<br/>비고 : ",867.3 Kcal,탄수화물(g) : 138.8<br/>단백질(g) : 46.1<br/>지방(g) : 12.9<br/>비타민A(R.E) : 396.5<br/>티아민(mg) : 0.6<br/>리보플라빈(mg) : 1.0<br/>비타민C(mg) : 38.0<br/>칼슘(mg) : 355.2<br/>철분(mg) : 3.5,20260909
T10,제주특별자치도교육청,9290088,제주중앙고등학교,2,중식,20260918,866.00,"찹쌀밥(면대체,자율)- <br/>육개장칼국수- (2.5.6.16)<br/>고구마츄러스맛탕- (1.2.5.6.13)<br/>부추겉절이(자율)- (5.6)<br/>배추김치(자율)- <br/>망고스틱- ","쇠고기(종류) : 제주산한우<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 제주산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 제주산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>쌀 가공품 : 국내산<br/>배추 : 국내산<br/>배추 가공품 : 국내산<br/>고춧가루 : 국내산<br/>고춧가루 가공품 : 국내산<br/>콩 : 국내산<br/>콩 가공품 : 국내산<br/>조피볼락 : 사용시 별도 표시<br/>참돔 : 국내산<br/>낙지 : 국내산<br/>낙지 수산가공품 : 사용시 별도 표시<br/>명태 : 사용시 별도 표시<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>오징어 수산가공품 : 사용시 별도 표시<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>다랑어 : 사용시 별도 표시<br/>다랑어 수산가공품 : 참치:원양산,가쓰오부시:필리핀산,인도네시아산<br/>아귀 : 국내산<br/>주꾸미 : 사용시 별도 표시<br/>주꾸미 수산가공품 : 사용시 별도 표시<br/>전복 : 국내산<br/>방어 : 국내산<br/>비고 : ",880.2 Kcal,탄수화물(g) : 152.5<br/>단백질(g) : 25.5<br/>지방(g) : 18.2<br/>비타민A(R.E) : 152.8<br/>티아민(mg) : 0.3<br/>리보플라빈(mg) : 0.6<br/>비타민C(mg) : 16.1<br/>칼슘(mg) : 153.3<br/>철분(mg) : 4.3,20260909
T10,제주특별자치도교육청,9290088,제주중앙고등학교,2,중식,20260921,866.00,검정쌀밥- <br/>황태미역국- (5)<br/>유채나물(자율)- (5.6)<br/>부들어묵고추장볶음- (5.6.18)<br/>치킨커틀렛/브라운소스- (1.2.5.6.12.15.16.18)<br/>배추김치(자율)- ,"쇠고기(종류) : 제주산한우<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 제주산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 제주산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>쌀 가공품 : 국내산<br/>배추 : 국내산<br/>배추 가공품 : 국내산<br/>고춧가루 : 국내산<br/>고춧가루 가공품 : 국내산<br/>콩 : 국내산<br/>콩 가공품 : 국내산<br/>조피볼락 : 사용시 별도 표시<br/>참돔 : 국내산<br/>낙지 : 국내산<br/>낙지 수산가공품 : 사용시 별도 표시<br/>명태 : 사용시 별도 표시<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>오징어 수산가공품 : 사용시 별도 표시<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>다랑어 : 사용시 별도 표시<br/>다랑어 수산가공품 : 참치:원양산,가쓰오부시:필리핀산,인도네시아산<br/>아귀 : 국내산<br/>주꾸미 : 사용시 별도 표시<br/>주꾸미 수산가공품 : 사용시 별도 표시<br/>전복 : 국내산<br/>방어 : 국내산<br/>비고 : ",916.8 Kcal,탄수화물(g) : 139.0<br/>단백질(g) : 45.7<br/>지방(g) : 18.2<br/>비타민A(R.E) : 385.0<br/>티아민(mg) : 0.7<br/>리보플라빈(mg) : 0.8<br/>비타민C(mg) : 75.2<br/>칼슘(mg) : 347.2<br/>철분(mg) : 4.4,20260909
T10,제주특별자치도교육청,9290088,제주중앙고등학교,2,중식,20260922,866.00,발아현미밥- <br/>황게된장국- (5.8)<br/>오이부추무침(자율)- <br/>돈육김치볶음/검정깨두부- (5.10)<br/>고구마그라탕- (2.5)<br/>배추김치(자율)- <br/>마카다미아쿠키- (1.2.5.6),"쇠고기(종류) : 제주산한우<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 제주산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 제주산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>쌀 가공품 : 국내산<br/>배추 : 국내산<br/>배추 가공품 : 국내산<br/>고춧가루 : 국내산<br/>고춧가루 가공품 : 국내산<br/>콩 : 국내산<br/>콩 가공품 : 국내산<br/>조피볼락 : 사용시 별도 표시<br/>참돔 : 국내산<br/>낙지 : 국내산<br/>낙지 수산가공품 : 사용시 별도 표시<br/>명태 : 사용시 별도 표시<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>오징어 수산가공품 : 사용시 별도 표시<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>다랑어 : 사용시 별도 표시<br/>다랑어 수산가공품 : 참치:원양산,가쓰오부시:필리핀산,인도네시아산<br/>아귀 : 국내산<br/>주꾸미 : 사용시 별도 표시<br/>주꾸미 수산가공품 : 사용시 별도 표시<br/>전복 : 국내산<br/>방어 : 국내산<br/>비고 : ",992.6 Kcal,탄수화물(g) : 125.7<br/>단백질(g) : 47.6<br/>지방(g) : 31.2<br/>비타민A(R.E) : 101.9<br/>티아민(mg) : 1.2<br/>리보플라빈(mg) : 5.4<br/>비타민C(mg) : 16.6<br/>칼슘(mg) : 265.1<br/>철분(mg) : 4.5,20260909
